,phenotype,sex,animal,trial,outcome,latency,c-start,c-end,dist-euclid,dist-total,curvature,speed-mean,speed-peak,acc-peak,xacc-peak,yacc-peak
21,ChR2,M,m1019,1,escape,3.3500000000000227,"(0.0647481380553579, 0.4796242833109162)","(-0.0699725271747579, 0.059102192377953)",0.44157500676858547,0.4775398641516685,1.0814467685711455,0.22739993531031835,1.198907808443752,7.961157634991833,3.2104104571335377,7.257475994178691
22,ChR2,M,m1019,2,escape,2.8000000000000114,"(-0.0729493686374211, 0.4761477483146846)","(-0.1084196283424505, 0.0744953201655383)",0.40321559042483385,0.4513638728478056,1.1194107657698504,0.2314686527424644,1.1663500253295016,7.856539320421282,3.240894179701792,5.18409865411269
23,ChR2,M,m1019,3,panic,3.2000000000000455,"(0.0967976781619873, 0.4629738051663079)","(0.0559095041171312, 0.067855370689833)",0.3972284230010018,0.4292124580966446,1.0805179922776122,0.204386884807926,1.0658920314321585,7.283016241107907,2.2491650685183,3.995153751815773
24,ChR2,M,m1019,4,panic,1.9499999999999318,"(0.0213869467513142, 0.4662973691248463)","(0.1174458167705332, 0.0254015569944818)",0.4512387656922473,0.5413002180774997,1.1995871348665905,0.20426423323679235,0.6763597105549817,4.186173645581343,2.979115810398828,3.08895236699002
25,ChR2,M,m1019,5,escape,3.0499999999999545,"(-0.1052674720950088, 0.468225669867517)","(-0.1091033176470117, 0.0786284443183501)",0.38961610832549937,0.4236146012971565,1.0872615177996017,0.18827315613206955,1.008187317880869,5.969520925250118,1.5077304749634646,5.051325753523484
26,ChR2,M,m1020,1,panic,4.100000000000023,"(0.1117560730300424, 0.4051455636209993)","(0.092861321832607, 0.019679653541799)",0.3859287232844934,0.4217114599561292,1.0927185112502185,0.191687027252786,0.8546402102097926,5.522976609942234,1.549886890755631,4.459187429716572
27,ChR2,M,m1020,2,escape,3.0,"(-0.0356980804379184, 0.4807292222491319)","(-0.1030191318729414, 0.0538100980749812)",0.4321944730696367,0.48986102589540587,1.1334273259354655,0.21771601150906927,0.8716852568567155,5.234611948656065,1.5694077070328882,4.845118466945625
28,ChR2,M,m1020,3,panic,2.8999999999999773,"(0.0664050556627704, 0.4195033431320666)","(0.0946367596460677, 0.0224746780713743)",0.39803114198473954,0.45570071712201016,1.144887093129717,0.21700034148667152,0.8970116102627429,6.931133515291831,2.139103929989528,4.218933079054697
29,ChR2,M,m1020,4,escape,3.5,"(-0.0404393279241801, 0.4553902482321224)","(-0.0910826569245037, 0.0681061123480508)",0.39058129586515916,0.4183426392598264,1.0710769913678901,0.2091713196299132,0.8444388688573883,6.463809035552315,1.5194021243340572,6.282694042578941
30,ChR2,M,m1020,5,escape,3.099999999999909,"(-0.0528787916229276, 0.4588447468336843)","(-0.1042505411604037, 0.0735240088213864)",0.38873014777977166,0.433579324976166,1.1153735501415314,0.20646634522674573,0.8854972932262297,5.708300046711996,2.9085695802928635,4.648843932207875
31,ChR2,M,m1021,1,escape,3.3000000000000114,"(0.1100774767315672, 0.4672696803462824)","(-0.056839977372293, 0.0733606731345058)",0.42781507973315036,0.4647696772964576,1.0863798386591648,0.2213188939506941,0.9497591822561692,7.271308297158643,2.005471956057936,6.4508626027157785
32,ChR2,M,m1021,2,panic,3.4500000000000455,"(0.1019498227357639, 0.3428286013821001)","(0.1121160411414622, 0.0221139260678233)",0.3208757624979087,0.35609532251282133,1.109760736494213,0.1618615102331006,0.8786420899901384,6.979419271719869,1.4622597373495805,6.590983369703046
33,ChR2,M,m1021,3,panic,3.8500000000000227,"(0.0829953796489869, 0.4595669408457996)","(0.1115746166164163, 0.0209517289310745)",0.43954530700331645,0.4772202299812286,1.0857134005929174,0.22196289766568772,0.8594317046673198,5.309728946301548,1.38270022134645,4.294275357094552
34,ChR2,M,m1021,4,escape,3.050000000000068,"(-0.0693533513765012, 0.4845199175185535)","(-0.0815744625829808, 0.1895951910374791)",0.29517782750243565,0.3348092524822594,1.1342628791435792,0.15218602385557245,0.9887386798689592,5.210306384055733,0.7169220306563362,1.958783852725232
35,ChR2,M,m1021,5,panic,3.1000000000000227,"(0.1016843193661134, 0.4608403533931873)","(0.1073964268465698, 0.0193041914945814)",0.4415731088234656,0.47372666096447896,1.0728159199428693,0.2203379818439437,1.0453800010452268,6.328767757738071,1.4256491724011666,6.0205830528343
